-7.421955796296098242e+02 -6.085091388426435515e+02 -4.197045291604268300e+02 -3.391437212575715421e+02 -2.127249513324783834e+02
-7.254298128259225678e+02 -5.823643781372525154e+02 -4.354921561298925212e+02 -3.621590211734265381e+02 -2.351661286512582194e+02
-7.472474386889605285e+02 -5.170778926944965406e+02 -4.605656898459382660e+02 -3.424643509845024596e+02 -2.052507676401502579e+02
-6.676130376078358495e+02 -5.686435093719080669e+02 -4.041923491721840378e+02 -3.433992697823642857e+02 -2.164370843677344851e+02
-7.115042996622214559e+02 -5.494643330457881802e+02 -4.577312739862023818e+02 -3.283020753764618576e+02 -2.288247172125636268e+02
-7.579182922179854813e+02 -5.869481298185598916e+02 -4.371424326732980035e+02 -3.445494984473303361e+02 -1.990019013853310526e+02
-6.546937956241949905e+02 -5.671856674350902949e+02 -4.282087368148809219e+02 -3.391646200374105433e+02 -2.323838453683185037e+02
-6.949248554366062081e+02 -5.663635586549936534e+02 -3.644666226978339409e+02 -3.467401997445285247e+02 -2.209839687207421832e+02
-6.892322549598809474e+02 -5.539572984571603911e+02 -4.035485693896581552e+02 -3.364339026227380032e+02 -2.385625322364278702e+02
-7.540741810431782142e+02 -5.059691868521484821e+02 -3.838015569640958802e+02 -3.404749769439929992e+02 -2.296307264688379064e+02
-6.603437984497501247e+02 -5.752111522239832766e+02 -3.962742099395207447e+02 -3.456235066585774689e+02 -2.328491346116396983e+02
-6.968703143204396611e+02 -6.039701096097194295e+02 -4.153390432517377349e+02 -3.429221544964470354e+02 -1.972959809129073676e+02
-6.862715671257241183e+02 -5.605028344348469318e+02 -4.439480316929981996e+02 -3.534218264259324656e+02 -2.152513744981856121e+02
-7.032703860909626883e+02 -5.823166308301128993e+02 -4.547252185322574860e+02 -3.130078950890668921e+02 -2.487843875179027862e+02
-6.398221261250575935e+02 -5.651120710855627749e+02 -4.687770219800416953e+02 -3.489063119701467599e+02 -2.207624358508988962e+02
-7.326089223106512236e+02 -4.792262478108646064e+02 -4.290080357787159073e+02 -3.368881785895542293e+02 -2.366243230962082862e+02
-6.936325923112507326e+02 -4.840546251353038087e+02 -4.269999069704974772e+02 -3.448414061289183792e+02 -2.121245906641260319e+02
-6.422195338447554604e+02 -5.731314690289709688e+02 -4.754851358307165583e+02 -3.629235281427508539e+02 -2.433052893510238448e+02
-6.421187122288048386e+02 -5.351659582354466238e+02 -4.619116280600472351e+02 -3.304685591544435965e+02 -2.317797741388648944e+02
-6.407060406270742305e+02 -5.432208076917944481e+02 -4.515785040781207726e+02 -3.674851836075156939e+02 -2.333291302890945076e+02
